"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"267","003830","대한화섬","KOSPI","화학",115000,500,0.44,1.5272e+11
"268","016090","대현","KOSPI","섬유의복",2125,-110,-4.92,94099908750
"269","069460","대호에이엘","KOSPI","철강금속",2240,-30,-1.32,60782039360
"270","192080","더블유게임즈","KOSPI","서비스업",55300,-1800,-3.15,1016109960600
"271","012510","더존비즈온","KOSPI","서비스업",110000,1500,1.38,3320924310000
"272","004830","덕성","KOSPI","화학",6500,200,3.17,1.0192e+11
"273","004835","덕성우","KOSPI","화학",12000,450,3.9,1.6704e+10
"274","024900","덕양산업","KOSPI","운수장비",3345,-100,-2.9,108929858100
"275","145720","덴티움","KOSPI","의료정밀",61200,1000,1.66,677412396000
"276","002150","도화엔지니어링","KOSPI","서비스업",8050,-180,-2.19,2.71446e+11
"277","001230","동국제강","KOSPI","철강금속",8990,-360,-3.85,857940305630
"278","023450","동남합성","KOSPI","화학",47400,400,0.85,1.71114e+11
"279","004140","동방","KOSPI","운수창고업",10350,1150,12.5,411687613350
"280","007590","동방아그로","KOSPI","화학",6550,-110,-1.65,89195129350
"281","005960","동부건설","KOSPI","건설업",12050,-450,-3.6,273612204350
"282","005965","동부건설우","KOSPI","건설업",22000,-150,-0.68,4966104000
"283","026960","동서","KOSPI","유통업",40300,-900,-2.18,4.01791e+12
"284","002210","동성제약","KOSPI","의약품",12650,-350,-2.69,330177270500
"285","102260","동성코퍼레이션","KOSPI","서비스업",4965,-75,-1.49,218425304580
"286","005190","동성화학","KOSPI","화학",16100,-200,-1.23,85902580400
"287","000640","동아쏘시오홀딩스","KOSPI","기타금융",116000,-1000,-0.85,714020136000
"288","170900","동아에스티","KOSPI","의약품",82100,-1700,-2.03,693241562800
"289","028100","동아지질","KOSPI","건설업",16650,50,0.3,1.91475e+11
"290","282690","동아타이어","KOSPI","화학",10400,0,0,142823356000
"291","001520","동양","KOSPI","비금속광물",1245,-25,-1.97,297161658435
"292","001527","동양2우B","KOSPI","비금속광물",11600,-50,-0.43,3579400400
"293","001529","동양3우B","KOSPI","비금속광물",24300,-650,-2.61,2180244600
"294","084670","동양고속","KOSPI","운수창고업",23450,-250,-1.05,67901093050
